_ORGANIZATION_ENTITY_URN,FIVETRAN_SYNCED,FOLLOWER_COUNTS_ORGANIC_FOLLOWER_COUNT,FOLLOWER_COUNTS_PAID_FOLLOWER_COUNT
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,5,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,10,0
urn:li:organization:265920,2023-06-26,3,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,2,0
urn:li:organization:265920,2023-06-26,35,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,2,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,6,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,2,0
urn:li:organization:265920,2023-06-26,1926,0
urn:li:organization:265920,2023-06-26,8,0
urn:li:organization:265920,2023-06-26,3,0
urn:li:organization:265920,2023-06-26,18,0
urn:li:organization:265920,2023-06-26,2,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,2,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,12,0
urn:li:organization:265920,2023-06-26,3,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,22,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,2,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,5,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,2,0
urn:li:organization:265920,2023-06-26,2,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,2,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,2,0
urn:li:organization:265920,2023-06-26,2,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,5,0
urn:li:organization:265920,2023-06-26,6,0
urn:li:organization:265920,2023-06-26,3,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,2,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:265920,2023-06-26,3,0
urn:li:organization:265920,2023-06-26,8,0
urn:li:organization:265920,2023-06-26,2,0
urn:li:organization:265920,2023-06-26,3,0
urn:li:organization:265920,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,8,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,6,0
urn:li:organization:54114735,2023-06-26,9,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,3,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,3,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,14,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,2,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,2,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,2,0
urn:li:organization:54114735,2023-06-26,5,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,4,0
urn:li:organization:54114735,2023-06-26,42,0
urn:li:organization:54114735,2023-06-26,2,0
urn:li:organization:54114735,2023-06-26,8,0
urn:li:organization:54114735,2023-06-26,6,0
urn:li:organization:54114735,2023-06-26,2,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,3,0
urn:li:organization:54114735,2023-06-26,3,0
urn:li:organization:54114735,2023-06-26,4,0
urn:li:organization:54114735,2023-06-26,3,0
urn:li:organization:54114735,2023-06-26,8,0
urn:li:organization:54114735,2023-06-26,6,0
urn:li:organization:54114735,2023-06-26,2,0
urn:li:organization:54114735,2023-06-26,7,0
urn:li:organization:54114735,2023-06-26,7,0
urn:li:organization:54114735,2023-06-26,14,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,4,0
urn:li:organization:54114735,2023-06-26,16,0
urn:li:organization:54114735,2023-06-26,7,0
urn:li:organization:54114735,2023-06-26,2,0
urn:li:organization:54114735,2023-06-26,7,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,2,0
urn:li:organization:54114735,2023-06-26,4,0
urn:li:organization:54114735,2023-06-26,13,0
urn:li:organization:54114735,2023-06-26,17,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,1314,0
urn:li:organization:54114735,2023-06-26,2,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,3,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,1,0
urn:li:organization:54114735,2023-06-26,8,0
urn:li:organizationBrand:28978119,2022-12-25,1,0
urn:li:organization:28978119,2022-12-25,1,0
urn:li:organization:37930,2022-12-27,2,0
urn:li:organization:25736,2023-01-28,7,0
urn:li:organizationBrand:25736,2023-01-28,7,0
urn:li:organizationBrand:28978119,2023-01-31,1,0
urn:li:organizationBrand:25736,2023-02-07,7,0
urn:li:organization:25736,2023-02-07,7,0
urn:li:organization:37930,2023-02-16,2,0
urn:li:organization:37930,2023-02-23,2,0
urn:li:organization:25736,2023-04-01,7,0
urn:li:organizationBrand:25736,2023-04-01,7,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organization:25736,2023-04-04,7,0
urn:li:organizationBrand:25736,2023-04-04,7,0
