_SHARE_ENTITY_URN,_ORGANIZATION_ENTITY_URN,ENGAGEMENT,SHARE_COUNT,CLICK_COUNT,LIKE_COUNT,IMPRESSION_COUNT,COMMENT_COUNT,_FIVETRAN_ID,_FIVETRAN_SYNCED
urn:li:ugcPost:6942474596117876737,urn:li:organization:54114735,0.04237288136,3,4,11,472,1,sZvQqXJXpDIOoU20koxwDHuwLcA=,2023-06-14
urn:li:share:6943166556587655168,urn:li:organization:54114735,0.3790170132,4,371,25,1058,1,2I6zs2tDomA9Qc1AxxLW9GBkiQ0=,2023-06-15
urn:li:share:6943659815554478081,urn:li:organization:265920,0.03488372093,0,6,9,430,0,TOy+oM3eF3+0+vnNqRLpFahCYCY=,2023-06-17
urn:li:ugcPost:6944612357297881088,urn:li:organization:54114735,0.03464203233,1,2,12,433,0,MqmrQTvuWOTXPFbFPI8ZM+tvryg=,2023-06-20
urn:li:share:6945699510144708608,urn:li:organization:54114735,0.178111588,2,134,27,932,3,+A7J1JyuFGG9o9Zoj1Z7ytxaDXA=,2023-06-23
urn:li:share:6946130101256302592,urn:li:organization:265920,0.0664893617,1,10,14,376,0,qBSKMxyL9OJ8JMfzxo9tMb7jlsg=,2023-06-24
urn:li:share:6948608141282476032,urn:li:organization:265920,0.03514376997,0,6,5,313,0,wW7J/aE+rh3tlheO5ogvO9jTjwQ=,2023-07-01
urn:li:ugcPost:6949729258202173440,urn:li:organization:265920,0.04692082111,0,7,9,341,0,/zsY24Iw4xiWUPdl03RzIavUkDg=,2023-07-04
urn:li:ugcPost:6949708543826558976,urn:li:organization:54114735,0.03092783505,1,3,14,582,0,R8XjJGykYczJ1x/QfU+HdH3BNDM=,2023-07-04
urn:li:ugcPost:6950055770562449408,urn:li:organization:54114735,0.1006389776,7,26,28,626,1,e9p00+Wj9f5kWaugTzIJcvrkI8I=,2023-07-05
urn:li:ugcPost:7083079976534642688,urn:li:organization:265920,0,0,0,0,3,0,Zj3czv5KE5bvmVoK4Sb27J+FRdw=,2023-07-07
urn:li:share:6950929027134083072,urn:li:organization:265920,0.1055276382,6,18,17,398,2,0Sn1s8hvruUkh2Ss9SuRHxm3Dkc=,2023-07-07
urn:li:share:6952577373775015936,urn:li:organization:54114735,0.07166123779,6,2,9,307,0,GPQygryu+7g+n8u+2+Jd3hMcdhs=,2023-07-12
urn:li:share:6953356191607521280,urn:li:organization:265920,0.07624633431,0,10,16,341,1,tmxQwGDd4qBoG/tG/7sHNcPD2GA=,2023-07-14
urn:li:ugcPost:6953418548136308736,urn:li:organization:54114735,0.05289052891,1,18,23,813,0,xFhzOHFmkvPw3wWqCR1FvXGgja4=,2023-07-14
urn:li:ugcPost:7075493117113618434,urn:li:organization:265920,0.07594936709,0,5,1,79,0,YSike2VC1P2OEhBbuRVwu+XzOZY=,2023-07-15
urn:li:share:6953828983633317888,urn:li:organization:265920,0.3329355609,0,254,25,838,1,S+WgVMJN03H2tbjEQKPaDGWsuw0=,2023-07-15
urn:li:ugcPost:6954502341484048384,urn:li:organization:265920,0.07633587786,1,42,28,917,0,sDl5rvQMOA1SjKAgBgmUN0/D1MA=,2023-07-17
urn:li:share:6954759256441028608,urn:li:organization:54114735,0.1507024266,6,93,19,783,1,X8jvECQibMwOCAC8qfDMp4GLJMo=,2023-07-18
urn:li:share:6955598548289695744,urn:li:organization:265920,0.07207207207,0,13,12,333,0,ADVThSopD6gqQKT0Welx0Ule2/0=,2023-07-20
urn:li:ugcPost:6956208751854944256,urn:li:organization:54114735,0.07590132827,6,17,12,527,0,Au/vB7Msoh6NPSfohNEZcu3HvnE=,2023-07-22
urn:li:share:6956240470704357376,urn:li:organization:265920,0.05194805195,0,6,19,462,0,Jk3WGrwn7zHYvlsT05ioQcHJCZ4=,2023-07-22
urn:li:share:6957784502924361729,urn:li:organization:265920,0.05679862306,0,10,21,581,2,i2ce2ctx6AVRfMzp9ZQoXV4ZfTE=,2023-07-26
urn:li:share:6958088765080805376,urn:li:organization:54114735,0.07398568019,2,18,11,419,0,zEu3gUbpkbW+VNotZPGZiOEBtUs=,2023-07-27
urn:li:share:6958828405437984768,urn:li:organization:265920,0.06046511628,0,13,13,430,0,fpTqwfLkQlWntS+hI9hqR4+WUtQ=,2023-07-29
urn:li:ugcPost:6960245909603377152,urn:li:organization:265920,0.04210526316,3,3,10,380,0,qE0Zsn2WFlawl4q+7K6MfifuxeQ=,2023-08-02
urn:li:share:6960983437709127681,urn:li:organization:265920,0.1690614491,1,500,52,3271,4,gcqJxAEqFDvBVUOyQk273TAOdoI=,2023-08-04
urn:li:share:6961021609377681408,urn:li:organization:54114735,0.2154605263,3,114,14,608,0,wScQB/okaOZEkG9zqhsxGtbBUb0=,2023-08-04
urn:li:share:6963132012731715584,urn:li:organization:54114735,0.07714285714,2,13,12,350,0,b4wxjLqYuHMR51Wla46PCsA43Q8=,2023-08-10
urn:li:share:6964964963522076673,urn:li:organization:54114735,0.4665911665,5,380,23,883,1,7lCcZy9KQl151xA5EVZgJs7kp8g=,2023-08-15
urn:li:share:6964997652929249280,urn:li:organization:265920,0.4053191489,0,722,40,1880,3,F6KqhkuvjBiJoMc0s8zTU6XUvGs=,2023-08-15
urn:li:share:6965345915855409153,urn:li:organization:3309638,0.04642409034,0,27,11,797,0,37qeYNbNyySIXrKgSqxmjecUYo4=,2023-08-18
urn:li:share:6966464017758384129,urn:li:organization:52118064,0.07016473459,0,76,39,1639,0,GmbqhwMo8goQN5NsBT0cjg9cE60=,2023-08-19
urn:li:share:6966480068026011648,urn:li:organization:3309638,0.1065801668,0,188,43,2158,0,1irjBHwfC0yjZCJF2oTlIfpSVL0=,2023-08-19
urn:li:ugcPost:6968167573133651968,urn:li:organization:54114735,0.09902200489,9,37,34,818,1,RsxJVinyYxsa7jebXsPq1mlJTAk=,2023-08-24
urn:li:share:6968284693720944640,urn:li:organization:52118064,0.1037832311,1,125,68,1956,9,qmRdcYOR5sEt5wZwbZjhIe/83eU=,2023-08-24
urn:li:share:6968659544465907712,urn:li:organization:3309638,0.05238828968,0,17,18,649,0,yQg9VvmfysfK89iS42WIRNninSo=,2023-08-25
urn:li:share:6970078697307443200,urn:li:organization:265920,0.06779661017,1,14,17,413,0,4gXc2xi7pizXeyUMWTvkQ6mkih0=,2023-08-29
urn:li:share:6970741752949354496,urn:li:organization:265920,0.05825242718,0,4,17,309,0,DhhH0bjyVZa7FVmmA5MLP0jpUHE=,2023-08-31
urn:li:ugcPost:7102334360560824320,urn:li:organization:52118064,0.08899297424,0,34,4,427,0,j1EdpMitsuErxcsS23WIzkFCTBA=,2023-08-31
urn:li:share:6970849318303936512,urn:li:organization:52118064,0.03169014085,1,8,18,852,0,lyAsXAYNN1uvENWHJ8gUIHjhzLA=,2023-08-31
urn:li:share:6971098497143951360,urn:li:organization:54114735,0.1634877384,2,89,26,734,3,soaC3dxTlSr6DorbeF/L5mWhRrY=,2023-09-01
urn:li:ugcPost:6971465703375699968,urn:li:organization:265920,0.03389830508,0,7,8,413,0,OHrekd+sXwZDwCHdxj27QrHEF2E=,2023-09-02
