ID,AUTHOR,CREATED_TIME,SPECIFIC_CONTENT_SHARE_COMMENTARY_TEXT,SPECIFIC_CONTENT_SHARE_MEDIA_CATEGORY,COMMENTARY
urn:li:share:7073007539210125312,urn:li:organization:54114735,2023-06-09,"We are pleased to announce that R&J Control, Inc. has joined GenServe to create the most capable and responsive generator service provider in the Tri-State area!#Genserve #emergencypower #power #generators",ARTICLE,
urn:li:share:6992881581761650688,urn:li:organization:54114735,2022-10-31,"GenServe wins the emergency power service contract for the Statue of Liberty and Ellis Island. If GenServe can manage the emergency power for freedom, we can help you manage your operation. #emergencypower #generators #ladyliberty #statueofliberty ",IMAGE,
urn:li:share:6945699510144708608,urn:li:organization:54114735,2022-06-23,Pre-startup walk thru on this newly installed Gillette 300kW Diesel generator with NYC compliant sub-base fuel tank and Eaton automatic transfer switches in a new construction Hotel in Queens NY. We can’t wait to see this building open soon!  Contact our sales team for your next project: GenServeInc.com#generators #standbygenerator #backuppower #backupgenerator #GenServe #gillettegenerators #automatictransferswitch #newconstruction #developer #hotel #queensny #generatorinstall,IMAGE,
urn:li:share:6964964963522076673,urn:li:organization:54114735,2022-08-15,"⚡️Monday morning Diesel Generator Major Services at a Hospital in Brooklyn.⚡️NFPA 110 requires emergency generators that provide life safety abide by NFPA 110 installation and maintenance standards. Including monthly and yearly preventative maintenance services. Our Fairfield NJ team will be performing two major services on two large Cummins Diesel Generators today. • Major Service: Typically performed once a year, or after a generator has been running continuously for a long period of time. This major service includes everything that a Minor Service offers, such as visual inspection that covers important checks of the air filter, coolant level, condition & operation of fan belts, block heater, flex connections & mountings, battery, battery charger, governor linkage and louvers, plus a complete change of lubricating oils and oil filters with oil and coolant sample extraction for lab analysis. It also includes repairing possible (minor) coolant, lube and fuel leaks, day tank inspection and fuel levels and pump controls.If you would like to learn more about all of the services that GenServe offers, contact your nearest branch today: GenServeInc.com #genserve #generatorservice #nfpa110 #preventativemaintenance #majorservice #oilchange #dieselgenerator #cummins #backuppower #poweron #heslthcare #healthcareheroes",IMAGE,
urn:li:share:6973310595899043842,urn:li:organization:54114735,2022-09-07,"With Hurricane Season halfway through 2022, we want to help you and your business prepare for the uncertainty of inclement weather. So here are some tips and recommendations to get your facility ready before, during, and after the storm.Download our Hurricane Preparedness Guide today and be ready to weather the storm! https://bit.ly/3Rr4u14#genserve #hurricanseason #hurricanepreparedness #download #guide #hurricanepreparednessguide #generatorservice #poweron",IMAGE,
urn:li:share:6963132012731715584,urn:li:organization:54114735,2022-08-10,Why are Generator Oil Changes Important?: http://ow.ly/3uYS50KgM1LTime without power is money lost. That’s why you invested in a generator and why you rely on a service provider like GenServe to take care of your equipment to ensure its proper operation in an emergency. Contact us today to schedule preventative maintenance: GenServeInc.com#genserve #generatoroilchange #majorservice #yearlyservice #tuneup #preventativemaintenance #generatorservice,IMAGE,
urn:li:share:6974765180131942400,urn:li:organization:54114735,2022-09-11,"We will never forget those who lost their lives, everyone who answered the call to serve, and the endless sacrifices made. From everyone at GenServe, we remember 9/11.#neverforget #september11 #genserve #freedom #patriotday",IMAGE,
urn:li:share:6958088765080805376,urn:li:organization:54114735,2022-07-27,Key Factors To Consider When Renting A Portable Generator:https://lnkd.in/eypq5Dk4#genserve #generatorrental #portablegenerator #poweron #backuppowersolutions #generatorservice #generatorsales,IMAGE,
urn:li:share:6971098497143951360,urn:li:organization:54114735,2022-09-01,"The GenServe Plainview team is rigging in a 300kW Diesel Generator at a mission-critical medical testing laboratory in Nassau County, NY.This Genset is fully NFPA-110 Level 1 compliant, and the sub-base fuel tank meets specific code requirements of The Nassau County Department of Health.Contact your nearest branch at GenServeInc.com to reach the experts in the Sales and Service departments.GenServe gets the job done right! #Power ON#standbypower #standbygenerator #backuppower #backupgenerator #gillettegenerators #generators #genserveinc",IMAGE,
urn:li:share:6943166556587655168,urn:li:organization:54114735,2022-06-16,Our Lebanon PA branch completed an installation yesterday at a community College in Lebanon County. The old unit was replaced with a brand new 60kW Gillette natural gas generator. Another successful turn-key project for another Happy Customer! We work with all manufacturers for faster lead times from initial phone call to completion.Contact our sales department  today! GenServeInc.com#genserve #generatorinstall #generatorservice #collegegenerator #schoolbackuppower #powerON #backuppower #poweroutage,IMAGE,
urn:li:share:7016043650023346176,urn:li:organization:54114735,2023-01-03,GenServe is growing. Illini Power Products and GenPower have joined the GenServe Team. GenServe is a major independent emergency generator service company in the US. https://lnkd.in/e3yszwY4#Genserve #emergencypower #power #generators,IMAGE,
urn:li:share:6954759256441028608,urn:li:organization:54114735,2022-07-18,GenServe South is having a busy summer of generator deliveries in Florida and Texas!  This 500kW will provide emergency backup power for a new healthcare facility scheduled to open later this year.We work with all brands and manufacturers and offer faster lead times than the competition! Contact us today: GenServeInc.com#genserve #genservesouth #ljpower #generatorinstall #generatorservice #texas #florida #poweron #backuppower #areyouready #weatherthestorm #powersolutions,IMAGE,
urn:li:share:6952577373775015936,urn:li:organization:54114735,2022-07-12,"With inspections and audits back in full swing, is your stand-by generator compliant with local, state and federal standards? Contact GenServe today to learn more on how to be in compliance and avoid costly fines.Business owners have to ask themselves one question: what would happen if a fire marshal showed up unannounced to my facility today?Don’t wait any longer, contact our service department today with questions about compliance and to schedule your preventative maintenance service. https://lnkd.in/e2HHFRTR#inspections #audits #firemarshalls #nj #hoboken #jerseycity #hudsoncounty #genserve #generatorservice #generatorinspection #avoidfines #contactustoday",IMAGE,
urn:li:share:6961021609377681408,urn:li:organization:54114735,2022-08-04,Pre-startup walk thru at a private school in Brooklyn NY with the GenServe and Electrical Contractor Teams. This brand new Gillette 150kw diesel generator will be providing reliable backup power for years! Many public and private schools trust GenServe for all their backup power needs. Contact our experienced service department and sales team today with any questions and for reliable backup power solutions:  www.GenServeInc.com #genserve #gillettegenerators #generatorservice #generatorinstall #standbygenerator #allmakesandmidels #poweron #backuppower #standbypower #GenServeInc ,IMAGE,
urn:li:ugcPost:6942474596117876737,urn:li:organization:54114735,2022-06-14,,,
urn:li:ugcPost:6944612357297881088,urn:li:organization:54114735,2022-06-20,,,
urn:li:ugcPost:6949729258202173440,urn:li:organization:265920,2022-07-04,,,Wishing everyone a fun and safe 4th of July! 🇺🇸
urn:li:ugcPost:7083079976534642688,urn:li:organization:265920,2023-07-07,,,Will you make the jump from {hashtag|\#|Twitter} to {hashtag|\#|Threads}? Vote in our poll and drop a comment sharing your thoughts about the battle brewing between the two text-based social media platforms. 
urn:li:ugcPost:7075493117113618434,urn:li:organization:265920,2023-06-16,,,"And the ""World's Best Dad"" award goes to... We can't choose so we're celebrating them all. Happy Father's Day from Falls & Co.! Drop a comment below and let us know how you're celebrating this weekend. 🍺⚾️🥩{hashtag|\#|FathersDay2023} {hashtag|\#|LifeAtFalls} {hashtag|\#|FathersDayWeekend}"
urn:li:ugcPost:6954502341484048384,urn:li:organization:265920,2022-07-17,,,Celebrating our June & July workiversaries 🥳
urn:li:ugcPost:6960245909603377152,urn:li:organization:265920,2022-08-02,,,"A new month means new anniversaries to celebrate 🎉 @[Mary Lou Brink, M.A.](urn:li:person:GMkMuDi3aY) @[Paige Haren](urn:li:person:3m-d7Nyc_f) @[Jim Piller](urn:li:person:UEG2QlC5IR) @[Heather Evans](urn:li:person:Ws678TOTAA) @[Alisa Greenwood](urn:li:person:jyyyL3NTPX)"
urn:li:ugcPost:7102334360560824320,urn:li:organization:52118064,2023-08-29,,,"From the impressive machinery of Davis-Besse Power Plant to the thrill of a baseball game, the Houston Team visiting the Akron Team emphasized teamwork wins both on and off the field. {hashtag|\#|WeAreEnergyHarbor}"
urn:li:ugcPost:6971465703375699968,urn:li:organization:265920,2022-09-02,,,Celebrating our September anniversaries! 🎉@[Susan Marsh](urn:li:person:8DdlvX2dNq)@[Scott Westergren](urn:li:person:QaPTmi63uy)@[Carmen Alcorn](urn:li:person:NlRceJQ-qQ)
urn:li:ugcPost:6974017918250496000,urn:li:organization:3309638,2022-09-09,,,"@[Nexus Engineering Group, LLC](urn:li:organization:3309638) welcomes new hires, Steve Buzaki, @[Mike Majchrowski](urn:li:person:YCtdgJz7wr), @[Jimmy Boraggina](urn:li:person:EAwyeVxSvP), and Susan Moriarty! We are happy to have you on our team and look forward to getting to know you! {hashtag|\#|Nexusengineering} {hashtag|\#|newhires}"
urn:li:ugcPost:7108077618402361345,urn:li:organization:265920,2023-09-14,,,Wednesdays are for breakfast in the office. 🥐🥯🍩{hashtag|\#|LifeAtFalls}
urn:li:ugcPost:7107788280368164864,urn:li:organization:52118064,2023-09-13,,,"Visit our outstanding team from Beaver Valley Power Station... Next stop... Penn State! See you Thursday, September 14  from 11am - 4pm EST {hashtag|\#|engineeringrecruitment}  {hashtag|\#|pennstate} {hashtag|\#|nuclearjobs} "
urn:li:ugcPost:7106006095755689984,urn:li:organization:52118064,2023-09-08,,,Looking for ways to meet your company’s zero-emission goals? Energy Harbor’s 24/7 Carbon Free Product ensures your operations are 100% carbon-free without supplementing with carbon-emitting sources during times of peak demand.
urn:li:ugcPost:7106002528315604993,urn:li:organization:52118064,2023-09-08,,,Take a giant step toward achieving your organization’s ESG goals with Energy Harbor. We can help offset your carbon footprint with Emission-Free Energy Certificates. 
urn:li:ugcPost:7106002528315572224,urn:li:organization:52118064,2023-09-08,,,"Emission-Free Energy Certificates from Energy Harbor are a practical, affordable, and measurable solution to offset direct and indirect emissions from business operations. Request a quote today. "
urn:li:ugcPost:7106004521167847425,urn:li:organization:52118064,2023-09-08,,,Energy Harbor’s 24/7 Carbon Free product goes beyond typical carbon offsets to provide a real-time match of energy usage with clean energy from nuclear generation. Learn about how your organization can fully meet its zero-emission goals.
urn:li:ugcPost:7105998191275212800,urn:li:organization:52118064,2023-09-08,,,Take a giant step toward achieving your organization’s ESG goals with Energy Harbor. We can help offset your carbon footprint with Emission-Free Energy Certificates. 
urn:li:ugcPost:7106006095738916864,urn:li:organization:52118064,2023-09-08,,,Energy Harbor’s 24/7 Carbon Free product goes beyond typical carbon offsets to provide a real-time match of energy usage with clean energy from nuclear generation. Learn about how your organization can fully meet its zero-emission goals.
urn:li:ugcPost:7106002528265256960,urn:li:organization:52118064,2023-09-08,,,Decarbonize your supply chain and hit ESG targets with carbon offsets from Energy Harbor. Learn more about your options.
urn:li:ugcPost:7105998191317155841,urn:li:organization:52118064,2023-09-08,,,Decarbonize your supply chain and hit ESG targets with carbon offsets from Energy Harbor. Learn more about your options.
urn:li:ugcPost:7106006095696953344,urn:li:organization:52118064,2023-09-08,,,Meet your company’s zero-emission goals faster with Energy Harbor. Our 24/7 products match hourly usage data with hourly output from local carbon-free generation. Learn more about your options.
urn:li:ugcPost:7106004521172008960,urn:li:organization:52118064,2023-09-08,,,Looking for ways to meet your company’s zero-emission goals? Energy Harbor’s 24/7 Carbon Free Product ensures your operations are 100% carbon-free without supplementing with carbon-emitting sources during times of peak demand.
