SHARE_STATISTIC_ID,UGC_POST_ID,_FIVETRAN_SYNCED
vEoi6ZhMVQnFLo3LiK0G5L5JbQU=,7073007539210125312,2023-06-13
0j/2w31kd32/GYWjllKMbDX4Cd0=,6974765180131942400,2023-06-13
X8jvECQibMwOCAC8qfDMp4GLJMo=,6954759256441028608,2023-06-13
7lCcZy9KQl151xA5EVZgJs7kp8g=,6964964963522076673,2023-06-13
+A7J1JyuFGG9o9Zoj1Z7ytxaDXA=,6945699510144708608,2023-06-13
E+vmLAmRxLbiXUze+qw7PAADxk0=,6973310595899043842,2023-06-13
wScQB/okaOZEkG9zqhsxGtbBUb0=,6961021609377681408,2023-06-13
soaC3dxTlSr6DorbeF/L5mWhRrY=,6971098497143951360,2023-06-13
7uvx+Ci39q041zQyjX2EPwP8m1g=,7016043650023346176,2023-06-13
zEu3gUbpkbW+VNotZPGZiOEBtUs=,6958088765080805376,2023-06-13
fUoXyuoaZl9XOxnwa28ww45D6zE=,6992881581761650688,2023-06-13
b4wxjLqYuHMR51Wla46PCsA43Q8=,6963132012731715584,2023-06-13
sZvQqXJXpDIOoU20koxwDHuwLcA=,6942474596117876737,2023-06-14
2I6zs2tDomA9Qc1AxxLW9GBkiQ0=,6943166556587655168,2023-06-13
GPQygryu+7g+n8u+2+Jd3hMcdhs=,6952577373775015936,2023-06-13
MqmrQTvuWOTXPFbFPI8ZM+tvryg=,6944612357297881088,2023-06-20
R8XjJGykYczJ1x/QfU+HdH3BNDM=,6949708543826558976,2023-07-04
/zsY24Iw4xiWUPdl03RzIavUkDg=,6949729258202173440,2023-07-04
e9p00+Wj9f5kWaugTzIJcvrkI8I=,6950055770562449408,2023-07-05
Zj3czv5KE5bvmVoK4Sb27J+FRdw=,7083079976534642688,2023-07-07
xFhzOHFmkvPw3wWqCR1FvXGgja4=,6953418548136308736,2023-07-14
YSike2VC1P2OEhBbuRVwu+XzOZY=,7075493117113618434,2023-07-15
sDl5rvQMOA1SjKAgBgmUN0/D1MA=,6954502341484048384,2023-07-17
Au/vB7Msoh6NPSfohNEZcu3HvnE=,6956208751854944256,2023-07-22
qE0Zsn2WFlawl4q+7K6MfifuxeQ=,6960245909603377152,2023-08-02
RsxJVinyYxsa7jebXsPq1mlJTAk=,6968167573133651968,2023-08-24
j1EdpMitsuErxcsS23WIzkFCTBA=,7102334360560824320,2023-08-31
OHrekd+sXwZDwCHdxj27QrHEF2E=,6971465703375699968,2023-09-02
j1/EalIt40kdU+h3AAlHolGeB9Y=,6974017918250496000,2023-09-09
l1q1xWh4XyW0bxrv691dLXdlVX8=,6975475712874962946,2023-09-13
FKV2fCyzf++/mtELbHj3t39SLdo=,6976147855887458304,2023-09-15
PmA+SmOM5bDLqiz4+5c9UObdJg0=,7108077618402361345,2023-09-16
0MjuwjvupxG5j3V3o6aXGod3lw4=,7107788280368164864,2023-09-16
qz86HIRZakXGbhQW0eEaaIs8UDg=,7103518442959372288,2023-09-16
